,Unnamed: 0,Provider,Provider Country,Developer Proceeds,Begin Date,End Date,Customer Currency,Country Code,Currency of Proceeds,Customer Price,Device,Supported Platforms
99,99,APPLE,US,4.02,12/1/2007,12/1/2007,EUR,FR,EUR,6.99,iPhone,iOS
101,101,APPLE,US,4.04,12/1/2007,12/1/2007,EUR,NL,EUR,6.99,iPhone,iOS
103,103,APPLE,US,25.13,12/1/2007,12/1/2007,BRL,BR,BRL,35.9,iPhone,iOS
105,105,APPLE,US,4.9,12/1/2007,12/1/2007,USD,MK,USD,6.99,iPhone,iOS
106,106,APPLE,US,99.57,12/1/2007,12/1/2007,MXN,MX,MXN,165.0,iPad,iOS
107,107,APPLE,US,0.0,12/1/2007,12/1/2007,USD,BJ,USD,0.0,iPhone,iOS
108,108,APPLE,US,0.0,12/1/2007,12/1/2007,USD,LA,USD,0.0,iPhone,iOS
109,109,APPLE,US,0.0,12/1/2007,12/1/2007,USD,HN,USD,0.0,iPhone,iOS
110,110,APPLE,US,4.9,12/1/2007,12/1/2007,USD,US,USD,6.99,iPhone,iOS
111,111,APPLE,US,0.0,12/1/2007,12/1/2007,RUB,RU,RUB,0.0,iPhone,iOS
113,113,APPLE,US,546.0,12/1/2007,12/1/2007,JPY,JP,JPY,780.0,iPhone,iOS
114,114,APPLE,US,6.99,12/1/2007,12/1/2007,NZD,NZ,NZD,11.49,iPhone,iOS
115,115,APPLE,US,0.0,12/1/2007,12/1/2007,CAD,CA,CAD,0.0,iPhone,iOS
116,116,APPLE,US,0.0,12/1/2007,12/1/2007,RUB,RU,RUB,0.0,iPad,iOS
117,117,APPLE,US,0.0,12/1/2007,12/1/2007,USD,US,USD,0.0,iPhone,iOS
118,118,APPLE,US,0.0,12/1/2007,12/1/2007,GBP,GB,GBP,0.0,iPhone,iOS
119,119,APPLE,US,4.9,12/1/2007,12/1/2007,USD,US,USD,6.99,iPhone,iOS
120,120,APPLE,US,0.0,12/1/2007,12/1/2007,EGP,EG,EGP,0.0,iPhone,iOS
121,121,APPLE,US,0.0,12/1/2007,12/1/2007,USD,US,USD,0.0,iPhone,iOS
122,122,APPLE,US,4.9,12/1/2007,12/1/2007,USD,JM,USD,6.99,iPhone,iOS
123,123,APPLE,US,0.0,12/1/2007,12/1/2007,USD,DZ,USD,0.0,iPhone,iOS
124,124,APPLE,US,18.25,12/1/2007,12/1/2007,SAR,SA,SAR,29.99,iPhone,iOS
125,125,APPLE,US,0.0,12/1/2007,12/1/2007,USD,IS,USD,0.0,iPad,iOS
126,126,APPLE,US,0.0,12/1/2007,12/1/2007,SAR,SA,SAR,0.0,iPhone,iOS
127,127,APPLE,US,0.0,12/1/2007,12/1/2007,DKK,DK,DKK,0.0,iPhone,iOS
128,128,APPLE,US,4.9,12/1/2007,12/1/2007,USD,US,USD,-6.99,iPhone,iOS
129,129,APPLE,US,4.9,12/1/2007,12/1/2007,USD,AR,USD,6.99,iPhone,iOS
130,130,APPLE,US,4.89,12/1/2007,12/1/2007,USD,IS,USD,8.67,iPhone,iOS
132,132,APPLE,US,99.57,12/1/2007,12/1/2007,MXN,MX,MXN,165.0,iPad,iOS
133,133,APPLE,US,6.99,12/1/2007,12/1/2007,NZD,NZ,NZD,11.49,iPhone,iOS
134,134,APPLE,US,0.0,12/1/2007,12/1/2007,CHF,CH,CHF,0.0,iPhone,iOS
135,135,APPLE,US,0.0,12/1/2007,12/1/2007,USD,US,USD,0.0,iPhone,iOS
137,137,APPLE,US,0.0,12/1/2007,12/1/2007,USD,US,USD,0.0,iPad,iOS
138,138,APPLE,US,0.0,12/1/2007,12/1/2007,BRL,BR,BRL,0.0,iPhone,iOS
139,139,APPLE,US,0.0,12/1/2007,12/1/2007,RUB,RU,RUB,0.0,iPad,iOS
140,140,APPLE,US,0.0,12/1/2007,12/1/2007,USD,PY,USD,0.0,iPhone,iOS
141,141,APPLE,US,3.98,12/1/2007,12/1/2007,EUR,IT,EUR,6.99,iPhone,iOS
142,142,APPLE,US,4.9,12/1/2007,12/1/2007,USD,TT,USD,6.99,iPhone,iOS
143,143,APPLE,US,0.0,12/1/2007,12/1/2007,USD,GY,USD,0.0,iPhone,iOS
144,144,APPLE,US,349.42,12/1/2007,12/1/2007,RUB,RU,RUB,599.0,iPhone,iOS
145,145,APPLE,US,0.0,12/1/2007,12/1/2007,USD,UA,USD,0.0,iPhone,iOS
146,146,APPLE,US,111300.0,12/1/2007,12/1/2007,VND,VN,VND,159000.0,iPhone,iOS
148,148,APPLE,US,4.9,12/1/2007,12/1/2007,USD,GT,USD,6.99,iPhone,iOS
149,149,APPLE,US,4.9,12/1/2007,12/1/2007,USD,US,USD,-6.99,iPhone,iOS
150,150,APPLE,US,4.9,12/1/2007,12/1/2007,USD,US,USD,-6.99,iPhone,iOS
152,152,APPLE,US,0.0,12/1/2007,12/1/2007,EUR,FR,EUR,0.0,iPhone,iOS
153,153,APPLE,US,11550.0,12/1/2007,12/1/2007,TZS,TZ,TZS,16500.0,iPhone,iOS
154,154,APPLE,US,3.47,12/1/2007,12/1/2007,GBP,GB,GBP,5.99,iPhone,iOS
155,155,APPLE,US,0.0,12/1/2007,12/1/2007,DKK,DK,DKK,0.0,iPhone,iOS
156,156,APPLE,US,4.74,12/1/2007,12/1/2007,USD,UY,USD,6.99,iPhone,iOS
157,157,APPLE,US,4.9,12/1/2007,12/1/2007,USD,EC,USD,6.99,iPhone,iOS
158,158,APPLE,US,17.49,12/1/2007,12/1/2007,QAR,QA,QAR,24.99,iPhone,iOS
159,159,APPLE,US,6.29,12/1/2007,12/1/2007,CAD,CA,CAD,8.99,iPhone,iOS
160,160,APPLE,US,0.0,12/1/2007,12/1/2007,USD,US,USD,0.0,iPhone,iOS
162,162,APPLE,US,3.98,12/1/2007,12/1/2007,EUR,PT,EUR,6.99,iPhone,iOS
163,163,APPLE,US,0.0,12/1/2007,12/1/2007,HUF,HU,HUF,0.0,iPhone,iOS
164,164,APPLE,US,4.9,12/1/2007,12/1/2007,USD,KW,USD,6.99,iPhone,iOS
165,165,APPLE,US,0.0,12/1/2007,12/1/2007,USD,UA,USD,0.0,iPhone,iOS
166,166,APPLE,US,0.0,12/1/2007,12/1/2007,USD,UA,USD,0.0,iPad,iOS
168,168,APPLE,US,0.0,12/1/2007,12/1/2007,SAR,SA,SAR,0.0,iPhone,iOS
169,169,APPLE,US,0.0,12/1/2007,12/1/2007,EUR,PT,EUR,0.0,iPhone,iOS
170,170,APPLE,US,4.08,12/1/2007,12/1/2007,USD,AM,USD,6.99,iPhone,iOS
171,171,APPLE,US,0.0,12/1/2007,12/1/2007,JPY,JP,JPY,0.0,iPhone,iOS
172,172,APPLE,US,20.58,12/1/2007,12/1/2007,RON,RO,RON,34.99,iPhone,iOS
173,173,APPLE,US,0.0,12/1/2007,12/1/2007,AED,AE,AED,0.0,iPhone,iOS
174,174,APPLE,US,25.13,12/1/2007,12/1/2007,BRL,BR,BRL,35.9,iPhone,iOS
175,175,APPLE,US,0.0,12/1/2007,12/1/2007,ZAR,ZA,ZAR,0.0,iPhone,iOS
177,177,APPLE,US,0.0,12/1/2007,12/1/2007,EUR,NL,EUR,0.0,iPhone,iOS
178,178,APPLE,US,4.55,12/1/2007,12/1/2007,CHF,CH,CHF,7.0,iPhone,iOS
179,179,APPLE,US,0.0,12/1/2007,12/1/2007,EUR,FR,EUR,0.0,iPhone,iOS
180,180,APPLE,US,0.0,12/1/2007,12/1/2007,QAR,QA,QAR,0.0,iPhone,iOS
