,media_source,date,geo,cost,currency
172,source_5,2007-12-06,PE,0.0,USD
173,source_3,2007-12-03,GR,2.387587,USD
174,source_1,2007-12-01,JP,0.0,USD
175,source_2,2007-12-01,HT,0.0,USD
176,source_1,2007-12-03,IE,0.3899999857,USD
177,source_3,2007-12-06,MN,0.0,USD
178,source_1,2007-12-06,AO,0.0,USD
179,source_1,2007-12-04,AG,0.0,USD
180,source_1,2007-12-04,,0.1800000072,USD
181,source_2,2007-12-01,CI,0.1110170029,USD
182,source_2,2007-12-05,EU,0.0,USD
183,source_1,2007-12-05,AU,0.0,USD
184,source_2,2007-12-01,BA,0.3744480002,USD
185,source_2,2007-12-02,LT,3.1011219846,USD
186,source_3,2007-12-01,LI,0.010312,USD
187,source_7,2007-12-06,GH,0.0,USD
188,source_5,2007-12-01,AU,0.0,USD
189,source_3,2007-12-05,IS,1.846075,USD
190,source_1,2007-12-07,PF,0.5600000024,USD
191,source_2,2007-12-02,BR,6.0801269669,USD
192,source_3,2007-12-01,LY,2.079204,USD
193,source_7,2007-12-01,DK,12.21,USD
194,source_3,2007-12-05,TG,0.465212,USD
195,source_3,2007-12-02,IN,0.0,USD
196,source_2,2007-12-05,IN,0.0,USD
197,source_3,2007-12-01,NI,0.322059,USD
198,source_1,2007-12-05,CN,0.0,USD
199,source_1,2007-12-03,GF,0.0,USD
200,source_3,2007-12-07,PA,2.490899,USD
201,source_1,2007-12-06,GU,0.0,USD
202,source_3,2007-12-04,SR,0.359276,USD
203,source_2,2007-12-02,SO,0.4744190028,USD
204,source_3,2007-12-07,CA,39.259216,USD
205,source_1,2007-12-03,CF,0.0,USD
206,source_6,2007-12-07,MX,0.0,USD
207,source_1,2007-12-03,MU,1.3999999785,USD
208,source_3,2007-12-03,BJ,0.856324,USD
209,source_3,2007-12-03,IM,0.952796,USD
210,source_3,2007-12-03,TC,0.336006,USD
211,source_8,2007-12-02,IN,0.0,USD
212,source_3,2007-12-06,TO,0.176001,USD
213,source_3,2007-12-05,SE,13.465041,USD
214,source_7,2007-12-07,JP,0.0,USD
215,source_2,2007-12-02,BY,0.0,USD
216,source_1,2007-12-04,GY,0.2800000012,USD
217,source_2,2007-12-01,CO,10.7247119877,USD
218,source_2,2007-12-03,EC,9.5776829878,USD
219,source_6,2007-12-02,JP,0.0,USD
220,source_5,2007-12-06,US,0.0,USD
221,source_1,2007-12-05,TT,1.4760000193,USD
222,source_1,2007-12-03,PA,0.0,USD
223,source_2,2007-12-01,AW,0.8893989977,USD
224,source_2,2007-12-04,CZ,3.6990129928,USD
225,source_3,2007-12-05,AL,0.461638,USD
226,source_1,2007-12-04,HK,0.0,USD
227,source_3,2007-12-03,BO,0.403884,USD
228,source_3,2007-12-02,AD,0.12444,USD
229,source_1,2007-12-03,VC,0.0,USD
230,source_2,2007-12-04,ES,20.1705388768,USD
231,source_3,2007-12-06,NU,0.04126,USD
232,source_3,2007-12-07,GL,0.196846,USD
233,source_8,2007-12-04,DO,0.0,USD
234,source_3,2007-12-05,LA,1.079524,USD
235,source_3,2007-12-01,,0.0,USD
236,source_1,2007-12-06,SV,0.0,USD
237,source_1,2007-12-04,VG,0.0,USD
238,source_1,2007-12-04,GE,5.119999975,USD
239,source_2,2007-12-04,GU,0.0745960002,USD
240,source_3,2007-12-03,YE,0.419289,USD
241,source_3,2007-12-01,BW,5.218796,USD
242,source_1,2007-12-02,GT,0.0,USD
243,source_3,2007-12-06,HU,3.861182,USD
244,source_8,2007-12-02,DE,0.0,USD
245,source_2,2007-12-02,UA,0.0,USD
246,source_3,2007-12-07,TL,0.372199,USD
247,source_3,2007-12-06,LS,0.524245,USD
248,source_7,2007-12-07,ES,0.0,USD
249,source_6,2007-12-02,CN,0.0,USD
250,source_1,2007-12-05,LA,0.0,USD
251,source_7,2007-12-06,IE,5.2,USD
252,source_8,2007-12-02,PR,0.0,USD
253,source_2,2007-12-05,VN,0.0,USD
254,source_1,2007-12-01,BF,0.1700000018,USD
255,source_7,2007-12-06,DE,0.0,USD
256,source_1,2007-12-03,AE,0.0,USD
257,source_3,2007-12-04,MH,0.154852,USD
258,source_1,2007-12-04,ME,0.5199999809,USD
259,source_2,2007-12-02,JM,2.1343120017,USD
260,source_2,2007-12-03,AG,0.2862229998,USD
261,source_3,2007-12-06,ET,0.0,USD
262,source_1,2007-12-06,RS,5.0400002003,USD
263,source_3,2007-12-06,UK,110.108609,USD
264,source_3,2007-12-04,PR,5.875052,USD
265,source_1,2007-12-06,IS,0.0,USD
266,source_1,2007-12-02,SO,0.0799999982,USD
267,source_3,2007-12-01,PM,0.030844,USD
