,Unnamed: 0,Date Time,Event Name,Region,Language,Platform,Device Type,OS Version,Is Retargeting
143,278,2007-12-1,trial_started,,,ios,,15.6.1,False
144,279,2007-12-1,trial_started,,,ios,,15.6.1,False
145,280,2007-12-1,trial_started,AS,,ios,,15.6.1,False
146,284,2007-12-1,trial_started,,,ios,,15.6.1,False
147,286,2007-12-1,trial_started,,,ios,,14.8.1,False
148,289,2007-12-1,trial_started,,,ios,,15.3.1,False
149,291,2007-12-1,trial_started,,,ios,,15.6,False
150,292,2007-12-1,trial_started,,,ios,,15.4.1,False
151,294,2007-12-1,trial_started,,,ios,,15.6.1,False
152,295,2007-12-1,trial_started,,,ios,,14.7.1,False
153,296,2007-12-1,trial_started,AS,,ios,,15.6.1,False
154,298,2007-12-1,trial_started,,,ios,,15.6,False
155,299,2007-12-1,trial_started,,,ios,,15.4,False
156,301,2007-12-1,trial_started,EU,,ios,,14.4.2,False
157,303,2007-12-1,trial_started,,,ios,,15.6.1,False
158,305,2007-12-1,trial_started,,,ios,,15.6.1,False
159,307,2007-12-1,trial_started,,,ios,,15.6.1,False
160,308,2007-12-1,trial_started,,,ios,,15.6.1,False
161,309,2007-12-1,trial_started,,,ios,,15.6.1,False
162,310,2007-12-1,trial_started,,,ios,,15.6.1,False
163,314,2007-12-3,trial_started,,,ios,,15.5,False
164,316,2007-12-1,trial_started,,,ios,,15.6.1,False
165,318,2007-12-1,trial_started,,,ios,,15.6,False
166,319,2007-12-1,trial_started,,,ios,,15.6.1,False
167,323,2007-12-1,trial_started,,,ios,,15.6.1,False
168,325,2007-12-2,trial_started,,,ios,,15.5,False
169,326,2007-12-2,trial_started,,,ios,,15.6.1,False
170,329,2007-12-2,trial_started,,,ios,,14.4,False
171,330,2007-12-2,trial_started,EU,,ios,,15.6.1,False
172,332,2007-12-2,trial_started,EU,,ios,,15.5,False
173,333,2007-12-5,trial_converted,,,ios,,15.6,False
174,334,2007-12-4,trial_converted,,,ios,,15.6.1,False
175,335,2007-12-5,trial_converted,AS,,ios,,15.4.1,False
176,337,2007-12-2,trial_started,EU,,ios,,15.6.1,False
177,338,2007-12-2,trial_started,,,ios,,15.6.1,False
178,339,2007-12-2,trial_started,AS,,ios,,15.6.1,False
179,340,2007-12-4,trial_converted,EU,,ios,,14.0,False
180,341,2007-12-6,trial_converted,,,ios,,15.6,False
181,342,2007-12-5,trial_converted,,,ios,,15.6,False
182,343,2007-12-5,trial_converted,,,ios,,15.3.1,False
183,345,2007-12-2,trial_started,AS,,ios,,14.4.1,False
184,346,2007-12-5,trial_converted,,,ios,,15.6,False
185,347,2007-12-5,trial_converted,EU,,ios,,15.6,False
186,348,2007-12-2,trial_started,,,ios,,15.6.1,False
187,351,2007-12-2,trial_started,,,ios,,15.5,False
188,353,2007-12-2,trial_started,EU,,ios,,14.2,False
189,354,2007-12-4,trial_converted,,,ios,,15.6,False
190,356,2007-12-2,trial_started,,,ios,,15.6.1,False
191,357,2007-12-2,trial_started,,,ios,,15.6.1,False
192,359,2007-12-2,trial_started,EU,,ios,,15.6.1,False
193,360,2007-12-2,trial_started,,,ios,,15.6,False
194,362,2007-12-2,trial_started,EU,,ios,,12.5.5,False
195,368,2007-12-2,trial_started,EU,,ios,,15.6.1,False
196,370,2007-12-2,trial_started,,,ios,,15.6.1,False
197,372,2007-12-2,trial_started,,,ios,,16.0,False
198,376,2007-12-2,trial_started,AF,,ios,,14.4.2,False
199,378,2007-12-2,trial_started,,,ios,,15.6.1,False
200,379,2007-12-2,trial_started,,,ios,,15.4,False
201,382,2007-12-2,trial_started,,,ios,,15.6.1,False
202,383,2007-12-2,trial_started,AF,,ios,,15.6.1,False
203,384,2007-12-2,trial_started,,,ios,,15.6,False
204,386,2007-12-2,trial_started,,,ios,,15.6.1,False
205,389,2007-12-2,trial_started,SA,,ios,,15.6.1,False
206,390,2007-12-4,trial_converted,,,ios,,15.6.1,False
207,392,2007-12-2,trial_started,,,ios,,15.6.1,False
208,396,2007-12-2,trial_started,,,ios,,15.5,False
209,397,2007-12-5,trial_converted,,,ios,,15.5,False
210,398,2007-12-5,trial_converted,,,ios,,15.5,False
211,400,2007-12-2,trial_started,,,ios,,15.6.1,False
212,401,2007-12-4,trial_converted,,,ios,,15.1.1,False
213,403,2007-12-2,trial_started,EU,,ios,,15.6.1,False
214,405,2007-12-2,trial_started,AF,,ios,,14.4.1,False
215,407,2007-12-2,trial_started,,,ios,,15.4.1,False
216,408,2007-12-2,trial_started,,,ios,,15.6,False
217,411,2007-12-2,trial_started,EU,,ios,,15.6.1,False
218,413,2007-12-2,trial_started,EU,,ios,,15.6.1,False
219,414,2007-12-5,trial_converted,,,ios,,15.6.1,False
220,415,2007-12-2,trial_started,EU,,ios,,15.6.1,False
221,417,2007-12-2,trial_started,,,ios,,15.6,False
222,419,2007-12-2,trial_started,EU,,ios,,14.8.1,False
223,420,2007-12-2,trial_started,,,ios,,15.6.1,False
224,421,2007-12-5,trial_converted,,,ios,,15.6,False
225,423,2007-12-5,trial_converted,,,ios,,15.6.1,False
226,425,2007-12-2,trial_started,,,ios,,15.6,False
227,427,2007-12-2,trial_started,,,ios,,15.6.1,False
228,430,2007-12-2,trial_started,,,ios,,15.6.1,False
229,432,2007-12-2,trial_started,,,ios,,15.6.1,False
230,434,2007-12-2,trial_started,,,ios,,15.6,False
231,436,2007-12-2,trial_started,,,ios,,15.5,False
232,438,2007-12-2,trial_started,,,ios,,15.6,False
233,440,2007-12-2,trial_started,EU,,ios,,15.6.1,False
234,441,2007-12-5,trial_converted,SA,,ios,,15.6.1,False
235,443,2007-12-2,trial_started,EU,,ios,,15.5,False
236,445,2007-12-2,trial_started,,,ios,,15.6.1,False
237,447,2007-12-2,trial_started,,,ios,,15.6.1,False
238,448,2007-12-2,trial_started,,,ios,,14.8.1,False
239,450,2007-12-2,trial_started,,,ios,,15.6.1,False
240,452,2007-12-2,trial_started,,,ios,,15.6,False
241,455,2007-12-2,trial_started,EU,,ios,,15.6.1,False
242,458,2007-12-2,trial_started,EU,,ios,,15.6.1,False
243,460,2007-12-2,trial_started,,,ios,,15.6.1,False
244,461,2007-12-2,trial_started,,,ios,,15.6.1,False
245,463,2007-12-2,trial_started,AS,,ios,,15.6.1,False
246,464,2007-12-2,trial_started,,,ios,,15.4.1,False
247,466,2007-12-2,trial_started,EU,,ios,,15.6,False
248,469,2007-12-2,trial_started,EU,,ios,,15.6,False
249,472,2007-12-2,trial_started,,,ios,,15.6.1,False
250,474,2007-12-2,trial_started,,,ios,,15.6.1,False
251,475,2007-12-4,trial_converted,,,ios,,14.4,False
252,476,2007-12-2,trial_started,AS,,ios,,15.6.1,False
253,478,2007-12-2,trial_started,,,ios,,15.3.1,False
254,480,2007-12-3,trial_started,,,ios,,15.4.1,False
255,484,2007-12-2,trial_started,,,ios,,15.6.1,False
256,486,2007-12-2,trial_started,EU,,ios,,15.5,False
257,487,2007-12-2,trial_started,AF,,ios,,15.5,False
258,490,2007-12-2,trial_started,,,ios,,15.6,False
259,492,2007-12-2,trial_started,,,ios,,15.6.1,False
260,493,2007-12-2,trial_started,,,ios,,15.6.1,False
261,495,2007-12-2,trial_started,,,ios,,15.5,False
262,496,2007-12-5,trial_converted,EU,,ios,,15.6.1,False
263,498,2007-12-2,trial_started,,,ios,,14.7.1,False
264,500,2007-12-2,trial_started,EU,,ios,,15.6.1,False
265,502,2007-12-2,trial_started,AF,,ios,,14.4.2,False
266,504,2007-12-2,trial_started,,,ios,,15.6.1,False
267,506,2007-12-3,trial_started,EU,,ios,,15.6,False
268,507,2007-12-5,trial_converted,,,ios,,15.5,False
269,509,2007-12-2,trial_started,EU,,ios,,15.2,False
270,511,2007-12-2,trial_started,,,ios,,14.7.1,False
271,512,2007-12-2,trial_started,,,ios,,15.6,False
272,514,2007-12-2,trial_started,EU,,ios,,15.6.1,False
273,516,2007-12-2,trial_started,,,ios,,15.6.1,False
274,517,2007-12-2,trial_started,,,ios,,15.3.1,False
275,518,2007-12-2,trial_started,,,ios,,16.0,False
276,519,2007-12-5,trial_converted,AS,,ios,,15.6,False
277,521,2007-12-2,trial_started,,,ios,,15.6,False
278,524,2007-12-2,trial_started,,,ios,,15.5,False
279,526,2007-12-2,trial_started,,,ios,,15.6.1,False
280,527,2007-12-5,trial_converted,,,ios,,15.6.1,False
281,531,2007-12-2,trial_started,,,ios,,15.6.1,False
282,534,2007-12-2,trial_started,,,ios,,15.5,False
283,535,2007-12-5,trial_converted,EU,,ios,,15.6,False
284,538,2007-12-2,trial_started,,,ios,,15.6.1,False
285,540,2007-12-2,trial_started,,,ios,,15.6.1,False
286,542,2007-12-2,trial_started,EU,,ios,,15.6.1,False
287,543,2007-12-2,trial_started,EU,,ios,,15.6.1,False
288,547,2007-12-2,trial_started,,,ios,,15.5,False
289,548,2007-12-2,trial_started,,,ios,,15.6,False
290,549,2007-12-5,trial_converted,,,ios,,15.5,False
291,550,2007-12-5,trial_converted,,,ios,,15.6.1,False
292,551,2007-12-2,trial_started,,,ios,,15.6.1,False
293,552,2007-12-2,trial_started,EU,,ios,,15.5,False
294,555,2007-12-2,trial_started,,,ios,,15.1,False
295,558,2007-12-2,trial_started,EU,,ios,,14.2,False
296,565,2007-12-2,trial_started,,,ios,,15.5,False
297,568,2007-12-2,trial_started,EU,,ios,,15.6.1,False
298,569,2007-12-2,trial_started,EU,,ios,,15.5,False
299,570,2007-12-2,trial_started,EU,,ios,,15.6,False
300,571,2007-12-2,trial_started,AS,,ios,,15.5,False
301,572,2007-12-2,trial_started,EU,,ios,,16.0,False
302,574,2007-12-2,trial_started,,,ios,,14.7.1,False
303,576,2007-12-2,trial_started,AS,,ios,,15.5,False
304,577,2007-12-2,trial_started,AS,,ios,,15.6.1,False
305,579,2007-12-2,trial_started,EU,,ios,,15.6.1,False
306,581,2007-12-2,trial_started,EU,,ios,,15.1,False
307,582,2007-12-2,trial_started,AS,,ios,,15.6.1,False
308,584,2007-12-2,trial_started,SA,,ios,,15.6.1,False
309,587,2007-12-2,trial_started,EU,,ios,,14.0.1,False
310,588,2007-12-2,trial_started,AS,,ios,,15.6,False
311,589,2007-12-2,trial_started,,,ios,,15.6.1,False
312,590,2007-12-2,trial_started,AS,,ios,,15.6.1,False
313,591,2007-12-2,trial_started,AF,,ios,,15.6.1,False
314,594,2007-12-2,trial_started,,,ios,,15.6.1,False
315,597,2007-12-2,trial_started,,,ios,,15.6.1,False
316,599,2007-12-2,trial_started,AS,,ios,,15.6.1,False
317,600,2007-12-2,trial_started,,,ios,,15.6.1,False
318,602,2007-12-2,trial_started,,,ios,,15.6.1,False
319,605,2007-12-2,trial_started,EU,,ios,,15.6,False
320,607,2007-12-2,trial_started,,,ios,,15.6,False
321,610,2007-12-2,trial_started,,,ios,,15.6.1,False
